run,package,interval,language,exec_time,num_clients,cpu_percentage,memory_usage
2024-12-02 14:10:41.724,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:41.945,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:42.166,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:42.387,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:42.608,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:42.835,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:43.058,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:43.280,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:43.509,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:43.728,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:43.948,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:44.168,run_4_repetition_14,,,cpp,180,2,10.0,20971520
2024-12-02 14:10:44.391,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:44.612,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:44.834,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:45.054,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:45.275,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:45.497,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:45.718,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:45.939,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:46.161,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:46.382,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:46.604,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:46.825,run_4_repetition_14,,,cpp,180,2,0.0,20971520
2024-12-02 14:10:47.046,run_4_repetition_14,,,cpp,180,2,0.0,20971520
