run,package,interval,language,exec_time,num_clients,cpu_percentage,memory_usage
2024-12-02 10:24:41.409,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:41.632,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:41.853,run_1_repetition_12,,,py,180,2,10.0,42123264
2024-12-02 10:24:42.075,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:42.296,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:42.519,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:42.741,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:42.964,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:43.188,run_1_repetition_12,,,py,180,2,10.0,42123264
2024-12-02 10:24:43.410,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:43.633,run_1_repetition_12,,,py,180,2,9.9,42123264
2024-12-02 10:24:43.856,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:44.079,run_1_repetition_12,,,py,180,2,10.0,42123264
2024-12-02 10:24:44.302,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:44.524,run_1_repetition_12,,,py,180,2,9.9,42123264
2024-12-02 10:24:44.746,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:44.968,run_1_repetition_12,,,py,180,2,10.0,42123264
2024-12-02 10:24:45.190,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:45.412,run_1_repetition_12,,,py,180,2,10.0,42123264
2024-12-02 10:24:45.633,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:45.854,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:46.077,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:46.297,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:46.518,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:46.739,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:46.960,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:47.181,run_1_repetition_12,,,py,180,2,10.0,42123264
2024-12-02 10:24:47.402,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:47.625,run_1_repetition_12,,,py,180,2,10.0,42123264
2024-12-02 10:24:47.845,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:48.066,run_1_repetition_12,,,py,180,2,9.9,42123264
2024-12-02 10:24:48.288,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:48.508,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:48.729,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:48.950,run_1_repetition_12,,,py,180,2,10.0,42123264
2024-12-02 10:24:49.173,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:49.393,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:49.615,run_1_repetition_12,,,py,180,2,0.0,42123264
2024-12-02 10:24:49.837,run_1_repetition_12,,,py,180,2,0.0,42123264
