run,package,interval,language,exec_time,num_clients,cpu_percentage,memory_usage
2024-12-01 23:42:33.847,run_2_repetition_6,,,py,180,3,10.0,42242048
2024-12-01 23:42:34.071,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:34.298,run_2_repetition_6,,,py,180,3,10.0,42373120
2024-12-01 23:42:34.526,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:34.747,run_2_repetition_6,,,py,180,3,10.0,42373120
2024-12-01 23:42:34.969,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:35.190,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:35.413,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:35.634,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:35.861,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:36.087,run_2_repetition_6,,,py,180,3,10.0,42373120
2024-12-01 23:42:36.310,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:36.534,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:36.756,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:36.972,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:37.181,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:37.391,run_2_repetition_6,,,py,180,3,19.9,42373120
2024-12-01 23:42:37.602,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:37.814,run_2_repetition_6,,,py,180,3,0.0,42373120
2024-12-01 23:42:38.025,run_2_repetition_6,,,py,180,3,10.0,42373120
2024-12-01 23:42:38.239,run_2_repetition_6,,,py,180,3,0.0,42504192
2024-12-01 23:42:38.454,run_2_repetition_6,,,py,180,3,10.0,42504192
2024-12-01 23:42:38.671,run_2_repetition_6,,,py,180,3,0.0,42504192
2024-12-01 23:42:38.888,run_2_repetition_6,,,py,180,3,10.0,42504192
