run,package,interval,language,exec_time,num_clients,cpu_percentage,memory_usage
2024-12-02 02:34:44.924,run_20_repetition_7,,,py,180,3,0.0,41873408
2024-12-02 02:34:45.150,run_20_repetition_7,,,py,180,3,0.0,42004480
2024-12-02 02:34:45.371,run_20_repetition_7,,,py,180,3,0.0,42004480
2024-12-02 02:34:45.591,run_20_repetition_7,,,py,180,3,10.0,42135552
2024-12-02 02:34:45.812,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:46.034,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:46.257,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:46.479,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:46.700,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:46.921,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:47.143,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:47.364,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:47.584,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:47.806,run_20_repetition_7,,,py,180,3,0.0,42135552
2024-12-02 02:34:48.033,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:48.263,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:48.494,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:48.718,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:48.939,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:49.158,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:49.380,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:49.601,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:49.822,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:50.044,run_20_repetition_7,,,py,180,3,9.9,42266624
2024-12-02 02:34:50.265,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:50.485,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:50.705,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:50.926,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:51.148,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:51.368,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:51.590,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:51.811,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:52.032,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:52.253,run_20_repetition_7,,,py,180,3,0.0,42266624
2024-12-02 02:34:52.473,run_20_repetition_7,,,py,180,3,0.0,42266624
